Código,Castellano,Català,Euskera,Galego,Asturianu
TXT001,BALANCE SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA,BALANÇ SOCIAL DE L'ECONOMIA SOCIAL I SOLIDÀRIA,,,BALANCE SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA
TXT002,AUDITORÍA SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA,AUDITORIA SOCIAL DE L'ECONOMIA SOCIAL I SOLIDÀRIA,EKONOMIA SOZIAL ETA SOLIDARIOAREN AUDITORIA SOZIALA,AUDITORÍA SOCIAL DA ECONOMÍA SOCIAL E SOLIDARIA,
TXT003,ENSEÑA EL CORAZÓN,ENSENYA EL COR,bihotza erakusten du,ENSINA O CORAZÓN,ENSEÑA'L CORAZÓN
TXT004,Personas de la organización,Persones de l'organització,pertsona erakundean,Persoas da organización,Persones de la organización
TXT005,Mujeres,Dones,Emakumeak,Mulleres,Muyeres
TXT006,Hombres,Homes,Gizonak,Homes,Homes
TXT007,Identidades No binarias,Identitats no-binàries,Nortasun ez-bitarrak,Identidades non-binarias,Identidaes non binaries
TXT008,TRABAJADORAS,Treballadores,LANGILEAK,TRABALLADORAS,TRABAYADORES
G1,La entidad no cuenta con personas trabajadoras,L'entitat no compta amb persones treballadores,Erakundeak ez du langilerik,A entidade non conta con persoas traballadoras,La entidá nun cunta con persones trabayadores
TXT010,VOLUNTARIAS,Voluntàries,BOLUNTARIOAK,VOLUNTARIAS,VOLUNTARIES
G2,Por su estructura la entidad no cuenta con personas voluntarias,"Per la seva estructura, l'entitat no compta amb persones voluntàries","Bere egituragatik, erakundeak ez du boluntariorik","Pola súa estrutura, a entidade non conta con persoas voluntarias",Pola so estructura la entidá nun cunta con persones voluntaries
TXT012,ASOCIADAS,Sòcies,BAZKIDEAK,ASOCIADAS,ASOCIAES
G3,Por su estructura la entidad no cuenta con personas asociadas,"Per la seva estructura, l'entitat no compta amb persones sòcies","Bere egituragatik, erakundeak ez du bazkiderik","Pola súa estrutura, a entidade non conta con persoas asociadas","Pola so estructura la entidá nun cunta con persones acomuñaes (val asina, pero si emplegáis ""asociaes"" enriba, ye meyor caltener la mesma forma ""asociaes"")"
TXT014,Ingresos,Ingressos,Diru-sarrerak,Ingresos,Ingresos
TXT015,Gastos,Despeses,Gastuak,Gastos,Gastos
TXT016,EQUIDAD,EQUITAT,EKITATEA,EQUIDADE,EQUIDÁ
TXT017,Puestos de responsabilidad ocupados por mujeres,Llocs de responsabilitat ocupats per dones,Emakumeek betetako erantzukizuneko lanpostuak,Postos de responsabilidade ocupados por mulleres,Puestos de responsabilidá ocupaos por muyeres
E1,Esta entidad cuenta con representación horizontal,Aquesta entitat compta amb representació horitzonal,Erakunde honek ordezkaritza horizontala du,Esta entidade conta con representación horizontal,Esta entidá cunta con representación horizontal
TXT018,Proporción salarial entre la plantilla,Proporció salarial entre la plantilla,Plantillaren soldata-proportzioa,Proporción salarial entre o persoal,Proporción salarial ente la plantiya
E6,No se puede calcular porque no hay personal contratado,No es pot calcular perquè no hi ha personal contractat,Ezin da kalkulatu langilerik ez dagoelako,Non se pode calcular porque non hai persoal contratado,Nunpuede calculase porque nun hai personal contratao
TXT020,Brecha salarial entre hombres y mujeres,Bretxa salarial entres homes i dones,Gizonen eta emakumeen arteko soldata-arrakala,Fenda salarial entre homes e mulleres,Fienda salarial ente homes y muyeres
E2,No se puede calcular porque la entidad no cuenta con trabajadoras,No es pot calcular perquè l'entitat no compta amb treballadores,Ezin da kalkulatu erakundeak ez duelako langilerik,Non se pode calcular porque a entidade non conta con traballadoras,Nun puede calculase porque la entidá nun cunta con trabayadores
E5,En esta entidad las trabajadoras y los trabajadores tienen la misma remuneración,En aquesta entitat les treballadores i treballadors tenen la mateixa remuneració,"Erakunde horretan, langileek ordainsari bera dute.","Nesta entidade, as traballadoras e os traballadores teñen a mesma remuneración",Nesta entidá lestrabayadores y lostrabayadores tienen la mesma remuneración
E3,No se puede calcular porque la entidad sólo tiene una trabajadora,No es pot calcular perquè l'entitat compta només amb una treballadora,Ezin da kalkulatu erakundeak langile bakarra duelako,Non se pode calcular porque a entidade só ten unha traballadora,Nun puede calculase porque la entidá namái tien una trabayadora
E4,No se puede calcular porque la entidad es no mixta,No es pot calcular perquè l'entitat no és mixta,Ezin da kalkulatu erakundea ez delako mistoa,Non se pode calcular porque a entidade é non-mixta,Nun puede calculase porque la entidá ye non mista
TXT025,Los hombres ganan un ind97% más que las mujeres,Els homes guanyen un ind97% més que les dones,Gizonek emakumeek baino % ind97 gehiago irabazten dute,Os homes gañan un ind97% máis cás mulleres,Los homes ganen un ind97% más que les muyeres
TXT026,Las mujeres ganan un ind97% mas que los hombres,Les dones guanyen un ind97% més que els homes,Emakumeek gizonek baino % ind97 gehiago irabazten dute,As mulleres gañan un ind97% máis ca os homes,Les muyeres ganen un ind97% más que los homes
TXT027,Difusión de salarios a la plantilla,Difusió dels salaris a la plantilla,Langileen artean soldatak zabaltzea,Difusión de salarios ao persoal,Espardimientu de salarios a la plantiya
E9,No corresponde porque solo hay una persona trabajadora,No correspon perquè només hi ha una persona treballadora,"Ez dagokio, langile bakarra dagoelako",Non corresponde porque só hai unha persoa traballadora,Nun correspuende porque solo hai una persona trabayadora
E8,No corresponde porque no hay personal contratado,No correspon perquè no hi ha personal contractat,"Ez dagokio, langilerik ez dagoelako",Non corresponde porque non hai persoal contratado,Nun correspuende porque nun hai personal contratáu
TXT030A,COOPERACIÓN  Y ,COOPERACIÓ I ,LANKIDETZA ETA ,COOPERACIÓN E ,COOPERACIÓN Y
TXT030B,COMPROMISO CON EL ENTORNO,COMPROMÍS AMB L'ENTORN,INGURUNEAREKIKO KONPROMISOA,COMPROMISO COA CONTORNA,COMPROMISU COLA REDOLADA
TXT031,Compras dentro de la economía social y solidaria,Compres dins l'economia social i solidària,Erosketak Ekonomia Sozial eta Solidarioaren barruan,Compras dentro da economía social e solidaria,Compres dientro de la economía social y solidaria
TXT032,Intercooperación con mismo sector compartiendo,"Intercooperació amb el mateix sector, compartint","Sektore berarekin lankidetza, hurrengoa partekatuz",Intercooperación co mesmo sector compartindo,Intercooperación col mesmu sector compartiendo
TXT033,Local,Local,Lokala,Local,Local
TXT034,Conocimiento,Coneixement,Ezagutza,Coñecemento,Conocencia
TXT035,Gestión,Gestió,Kudeaketa,Xestión,Xestión
TXT036,Proyectos,Projectes,Proiektuak,Proxectos,Proyectos
TXT037,Opera con finanzas éticas,Opera amb finances ètiques,Finantza etikoekin jarduten du,Opera con finanzas éticas,Opera con finances étiques
TXT038,SOSTENIBILIDAD ECOLÓGICA,SOSTENIBILITAT ECOLÒGICA,IRAUNKORTASUN EKOLOGIKOA,SUSTENTABILIDADE ECOLÓXICA,SOSTENIBILIDÁ ECOLÓXICA
TXT039,Sistema de gestión ambiental,Sistema de gestió ambiental,Ingurumena kudeatzeko sistema,Sistema de xestión ambiental,Sistema de xestión ambiental
TXT040,Sensibilización ambiental a nivel interno,Sensibilització ambiental a nivell intern,Ingurumen-sentsibilizazioa barne-mailan,Sensibilización ambiental a nivel interno,Sensibilización ambiental a nivel internu
TXT041,Divulgación ambiental a nivel externo,Divulgació ambiental a nivell extern,Ingurumen-zabalkundea kanpoan,Divulgación ambiental a nivel externo,Divulgación ambiental a nivel esternu
TXT042,Medidas de reducción de impacto ambiental y divulgación a nivel externo,Mesures de reducció d'impacte ambiental i divulgació a nivell extern,Ingurumen-inpaktua murrizteko  neurriak eta zabalkundea kanpoan,Medidas de redución do impacto ambiental e divulgación a nivel externo,Midíes d'amenorgamientu d'impactu ambiental y divulgación a nivel esternu
TXT043,Energía 100% renovable,Energia 100% renovable,Energia % 100 berriztagarria,Enerxía 100 % renovable,Enerxía 100% anovable
S1,Esta entidad no cuenta con centro de trabajo,Aquesta entitat no compta amb un centre de treball,Erakunde honek ez du lantokirik,Esta entidade non conta con centro de traballo,Esta entidá nun cunta con centru de trabayu
TXT045,TRABAJO DIGNO,TREBALL DIGNE,LAN DUINA,TRABALLO DIGNO,TRABAYU DIGNU
TXT046,Espacios de atención emocional y cuidado,Espais d'atenció emocional i de cures,Arreta emozionalerako eta zaintzarako espazioak,Espazos de atención emocional e coidado,Espacios d'atención emocional y curiáu
TXT047,Reglamento interno de relaciones laborales,Reglament intern de relacions laborals,Lan-harremanen barne-araudia,Regulamento interno de relacións laborais,Reglamentu internu de rellaciones llaborales
TXT048,Medidas que mejoran la ley de conciliación,Mesures que milloren la llei de conciliació,Kontziliazio-legea hobetzen duten neurriak,Medidas que melloran a lei de conciliación,Midíes qu'ameyoren la llei de conciliación
T1,No corresponde porque no hay personal contratado,No correspon perquè no hi ha personal contractat,"Ez dagokio, ez dagoelako kontratatutako langilerik",Non corresponde porque non hai persoal contratado,Nun correspuende porque nun hai personal contratao
T2,No corresponde porque solo hay una persona trabajadora,No correspon perquè només hi ha una persona treballadora,"Ez dagokio, langile bakarra dagoelako",Non corresponde porque só hai unha persoa traballadora,Nun correspuende porque solo hai una persona trabayadora
TXT050,REPARTO JUSTO DE LA RIQUEZA,REPARTIMENT JUST DE LA RIQUESA,ABERASTASUNAREN BIDEZKO BANAKETA,REPARTO XUSTO DA RIQUEZA,REPARTU XUSTU DE LA RIQUEZA
TXT051,Fuentes de ingresos,Fonts d'ingressos,Diru-iturriak,Fontes de ingresos,Fontes d'ingresos
TXT052,Facturación,Facturació,Fakturazioa,Facturación,Facturación
TXT053,Subvenciones,Subvencions,Dirulaguntzak,Subvencións,Subvenciones
TXT054,Otras,Altres,Bestelakoak,Outras,Otres
TXT055,Reparto de beneficios,Repartiment de beneficis,Mozkinen banaketa,Reparto de beneficios,Repartu de beneficios
TXT056,A empresas o personas socias,A empreses o persones sòcies,Enpresei edo bazkideei,A empresas ou persoas socias,A empreses o persones socies
TXT057,A compensación de pérdidas,A compensació de pèrdues ,Galerak konpentsatzera,A compensación de perdas,A compensación de perdes
TXT058,A reservas,A reserves,Erreserbetara,A reservas,A reserves
R1,No corresponde porque no se han tenido beneficios este año,No correspon perquè no hi ha hagut beneficis enguany,"Ez dagokio, aurten ez delako etekinik izan",Non corresponde porque non houbo beneficios este ano,Nun correspuende porque nun se tuvieron beneficios anguaño
T3,No corresponde por tamaño,No correspon per mida,"Ez dagokio, tamaina dela eta",Non corresponde por tamaño,Nun correspuende por tamañu
TXT059,Mil,Mil,mila,Mil,Mil
TXT060,Promueve,Promou,Sustatzaileak,Promove,Promueve
TXT061,Colabora,Col·labora,Laguntzailea,Colabora,Collabora
E7,No se puede calcular porque la entidad sólo tiene una trabajadora,No es pot calcular perquè l'entitat compta només amb una treballadora,Ezin da kalkulatu erakundeak langile bakarra duelako,Non se pode calcular porque a entidade só ten unha traballadora,Nunpuede calculase porque la entidá namái tien una trabayadora
TXT062,Nos damos visibilidad mutua,Ens donem visibilitat mútuament,Elkar ikusarazten dugu,Dámonos visibilidade mutua,Dámonos visibilidá mutua
TXT063,Elaboramos presupuesto conjuntamente,Elaborem el pressupost conjuntament,Aurrekontua elkarrekin egiten dugu,Elaboramos orzamento conxuntamente,Ellaboramos presupuestu conxuntamente
TXT064,Pensamos juntas el proyecto,Pensem juntes el projecte,Proiektua elkarrekin pentsatzen dugu,Pensamos xuntas o proxecto,Pensamos xuntes el proyectu
TXT065,Compartimos pérdidas,Compartim pèrdues,Galerak partekatzen ditugu,Compartimos perdas,Compartimos perdes
TXT066,Me formo sobre temas ambientales,Em formo sobre temes ambientals,Ingurumen-gaiei buruzko prestakuntza jasotzen dut,Fórmome sobre temas ambientais,Fórmome sobro temes ambientales
TXT067,Tengo horario laboral definido,Tinc un horari laboral definit,Lan-ordutegia zehaztuta daukat,Teño horario laboral definido,Tengo horariu llaboral definíu
TXT068,Utilizo herramientas para contabilizar las horas de trabajo,Utilitzo eines per comptabilitzar les hores de treball,Lanorduak zenbatzeko tresnak erabiltzen ditut,Utilizo ferramentas para contabilizar as horas de traballo,Utilizo ferramientes para contabilizar les hores de trabayu
TXT069,Diferencio el móvil personal del laboral,Diferencio el mòbil personal del laboral,Mugikor pertsonala eta laneko mugikorra bereizten ditut,Diferencio o móbil persoal do laboral,Estremo'l móvil personal del llaboral
TXT070,Utilizo servicios de atención al emprendimiento o similares,Utilitzo serveis d'atenció a la emprenedoria o similars,Ekintzailetzari arreta emateko zerbitzuak edo antzekoak erabiltzen ditut,Utilizo servizos de atención ao emprendemento ou similares,Utilizo servicios d'atención al emprendimientu o similares
TXT071,Salario,Salari,Soldata,Salario,Salariu
TXT072,Al trabajar con otras autónomas: ,En treballar amb altres autònomes:,Beste autonomo batzuekin lan egitean:,Ao traballar con outras autónomas: ,Al trabayar con otres autónomes:
TXT073,Intercoopero en el sector compartiendo:,Intercoopero en el sector compartint:,"Sektorean lankidetzan aritzen naiz, honako hauek partekatuz:",Intercoopero no sector compartindo:,Intercoopero nel sector compartiendo:
TXT074,Opero con finanzas éticas,Opero amb finances ètiques,Finantza etikoak erabiltzen ditut,Opero con finanzas éticas,Opero con finances étiques
TXT075,Hago divulgación ambiental ,Faig divulgació ambiental,Ingurumen-dibulgazioa egiten dut,Fago divulgación ambiental ,Faigo divulgación ambiental
TXT076,Si,Sí,Bai,Si,Sí
TXT077,No,no,Ez,Non,Non