Código,Castellano,Català,Euskera,Galego
TXT001,BALANCE SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA,BALANÇ SOCIAL DE L'ECONOMIA SOCIAL I SOLIDÀRIA,,
TXT002,AUDITORÍA SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA,AUDITORIA SOCIAL DE L'ECONOMIA SOCIAL I SOLIDÀRIA,EKONOMIA SOZIAL ETA SOLIDARIOAREN AUDITORIA SOZIALA,AUDITORÍA SOCIAL DA ECONOMÍA SOCIAL E SOLIDARIA
TXT003,ENSEÑA EL CORAZÓN,ENSENYA EL COR,bihotza erakusten du,ENSINA O CORAZÓN
TXT004,Personas de la organización,Persones de l'organització,pertsona erakundean,Persoas da organización
TXT005,    Mujeres,Dones,Emakumeak,    Mulleres
TXT006,    Hombres,Homes,Gizonak,    Homes
TXT007,    Identidades No binarias,Identitats no-binàries,Nortasun ez-bitarrak,    Identidades non-binarias
TXT008,TRABAJADORAS,Treballadores,LANGILEAK,TRABALLADORAS
G1,La entidad no cuenta con personas trabajadoras,L'entitat no compta amb persones treballadores,Erakundeak ez du langilerik,A entidade non conta con persoas traballadoras
TXT010,VOLUNTARIAS,Voluntàries,BOLUNTARIOAK,VOLUNTARIAS
G2,Por su estructura la entidad no cuenta con personas voluntarias,"Per la seva estructura, l'entitat no compta amb persones voluntàries","Bere egituragatik, erakundeak ez du boluntariorik","Pola súa estrutura, a entidade non conta con persoas voluntarias"
TXT012,ASOCIADAS,Sòcies,BAZKIDEAK,ASOCIADAS
G3,Por su estructura la entidad no cuenta con personas asociadas,"Per la seva estructura, l'entitat no compta amb persones sòcies","Bere egituragatik, erakundeak ez du bazkiderik","Pola súa estrutura, a entidade non conta con persoas asociadas"
TXT014,Ingresos,Ingressos,Diru-sarrerak,Ingresos
TXT015,Gastos,Despeses,Gastuak,Gastos
TXT016,EQUIDAD,EQUITAT,EKITATEA,EQUIDADE
TXT017,Mujeres en puestos de responsabilidad ,Dones en càrrecs directius,Emakumeak erantzukizun postuetan,Mulleres en postos de responsabilidade
E1,Esta entidad cuenta con representación horizontal,Aquesta entitat compta amb representació horitzonal,Erakunde honek ordezkaritza horizontala du,Esta entidade conta con representación horizontal
TXT018,Proporción salarial entre la plantilla,Proporció salarial entre la plantilla,Plantillaren soldata-proportzioa,Proporción salarial entre o persoal
E6,No se puede calcular porque no hay personal contratado,No es pot calcular perquè no hi ha personal contractat,Ezin da kalkulatu langilerik ez dagoelako,Non se pode calcular porque non hai persoal contratado
TXT020,Brecha salarial entre hombres y mujeres,Bretxa salarial entres homes i dones,Gizonen eta emakumeen arteko soldata-arrakala,Fenda salarial entre homes e mulleres
E2,No se puede calcular porque la entidad no cuenta con trabajadoras,No es pot calcular perquè l'entitat no compta amb treballadores,Ezin da kalkulatu erakundeak ez duelako langilerik,Non se pode calcular porque a entidade non conta con traballadoras
E5,En esta entidad las trabajadoras y los trabajadores tienen la misma remuneración,En aquesta entitat les treballadores i treballadors tenen la mateixa remuneració,"Erakunde horretan, langileek ordainsari bera dute.","Nesta entidade, as traballadoras e os traballadores teñen a mesma remuneración"
E3,No se puede calcular porque la entidad sólo tiene una trabajadora,No es pot calcular perquè l'entitat compta només amb una treballadora,Ezin da kalkulatu erakundeak langile bakarra duelako,Non se pode calcular porque a entidade só ten unha traballadora
E4,No se puede calcular porque la entidad es no mixta,No es pot calcular perquè l'entitat no és mixta,Ezin da kalkulatu erakundea ez delako mistoa,Non se pode calcular porque a entidade é non-mixta
TXT025,Los hombres ganan un ind127% más que las mujeres,Els homes guanyen un ind127% més que les dones,Gizonek emakumeek baino % ind127 gehiago irabazten dute,Os homes gañan un ind127% máis ca as mulleres
TXT026,Las mujeres ganan un ind127% mas que los hombres,Les dones guanyen un ind127% més que els homes,Emakumeek gizonek baino % ind127 gehiago irabazten dute,As mulleres gañan un ind127% máis ca os homes
TXT027,Difusión de salarios a la plantilla,Difusió dels salaris a la plantilla,Langileen artean soldatak zabaltzea,Difusión de salarios ao persoal
E9,No corresponde porque solo hay una persona trabajadora,No correspon perquè només hi ha una persona treballadora,"Ez dagokio, langile bakarra dagoelako",Non corresponde porque só hai unha persoa traballadora
E8,No corresponde porque no hay personal contratado,No correspon perquè no hi ha personal contractat,"Ez dagokio, langilerik ez dagoelako",Non corresponde porque non hai persoal contratado
TXT030A,COOPERACIÓN  Y ,COOPERACIÓ I ,LANKIDETZA ETA ,COOPERACIÓN E 
TXT030B,COMPROMISO CON EL ENTORNO,COMPROMÍS AMB L'ENTORN,INGURUNEAREKIKO KONPROMISOA,COMPROMISO COA CONTORNA
TXT031,Compras dentro de la economía social y solidaria,Compres dins l'economia social i solidària,Erosketak Ekonomia Sozial eta Solidarioaren barruan,Compras dentro da economía social e solidaria
TXT032,Intercooperación con mismo sector compartiendo,"Intercooperació amb el mateix sector, compartint","Sektore berarekin lankidetza, hurrengoa partekatuz",Intercooperación co mesmo sector compartindo
TXT033,Local ,Local,Lokala,Local 
TXT034,Conocimiento,Coneixement,Ezagutza,Coñecemento
TXT035,Gestión,Gestió,Kudeaketa,Xestión
TXT036,Proyectos,Projectes,Proiektuak,Proxectos
TXT037,Opera con finanzas éticas,Opera amb finances ètiques,Finantza etikoekin jarduten du,Opera con finanzas éticas
TXT038,SOSTENIBILIDAD ECOLÓGICA,SOSTENIBILITAT ECOLÒGICA,IRAUNKORTASUN EKOLOGIKOA,SUSTENTABILIDADE ECOLÓXICA
TXT039,Sistema de gestión ambiental,Sistema de gestió ambiental,Ingurumena kudeatzeko sistema,Sistema de xestión ambiental
TXT040,Sensibilización ambiental a nivel interno,Sensibilització ambiental a nivell intern,Ingurumen-sentsibilizazioa barne-mailan,Sensibilización ambiental a nivel interno
TXT041,Divulgación ambiental a nivel externo,Divulgació ambiental a nivell extern,Ingurumen-zabalkundea kanpoan,Divulgación ambiental a nivel externo
TXT042,Medidas de reducción de impacto ambiental y divulgación a nivel externo,Mesures de reducció d'impacte ambiental i divulgació a nivell extern,Ingurumen-inpaktua murrizteko  neurriak eta zabalkundea kanpoan,Medidas de redución do impacto ambiental e divulgación a nivel externo
TXT043,Energía 100% renovable,Energia 100% renovable,Energia % 100 berriztagarria,Enerxía 100 % renovable
S1,Esta entidad no cuenta con centro de trabajo,Aquesta entitat no compta amb un centre de treball,Erakunde honek ez du lantokirik,Esta entidade non conta con centro de traballo
TXT045,TRABAJO DIGNO,TREBALL DIGNE,LAN DUINA,TRABALLO DIGNO
TXT046,Espacios de atención emocional y cuidado,Espais d'atenció emocional i de cures,Arreta emozionalerako eta zaintzarako espazioak,Espazos de atención emocional e coidado
TXT047,Reglamento interno de relaciones laborales,Reglament intern de relacions laborals,Lan-harremanen barne-araudia,Regulamento interno de relacións laborais
TXT048,Medidas que mejoran la ley de conciliación,Mesures que milloren la llei de conciliació,Kontziliazio-legea hobetzen duten neurriak,Medidas que melloran a lei de conciliación
T1,No corresponde medir estos indicadores porque no hay personal contratado,No correspon mesurar aquests indicadors perquè no hi ha personal contractat,"Ez dagokio adierazle horiek neurtzea, ez baitago kontratatutako langilerik",Non corresponde medir estes indicadores porque non hai persoal contratado
T2,No corresponde porque solo hay una persona trabajadora,No correspon perquè només hi ha una persona treballadora,"Ez dagokio, langile bakarra dagoelako",Non corresponde porque só hai unha persoa traballadora
TXT050,REPARTO JUSTO DE LA RIQUEZA,REPARTIMENT JUST DE LA RIQUESA,ABERASTASUNAREN BIDEZKO BANAKETA,REPARTICIÓN XUSTA DA RIQUEZA
TXT051,Fuentes de ingresos,Fonts d'ingressos,Diru-iturriak,Fontes de ingresos
TXT052,Facturación,Facturació,Fakturazioa,Facturación
TXT053,Subvenciones,Subvencions,Dirulaguntzak,Subvencións
TXT054,Otras,Altres,Bestelakoak,Outras
TXT055,Reparto de beneficios,Repartiment de beneficis,Mozkinen banaketa,Repartición de beneficios
TXT056,A empresas o personas socias,A empreses o persones sòcies,Enpresei edo bazkideei,A empresas ou persoas socias
TXT057,A compensación de pérdidas,A compensació de pèrdues ,Galerak konpentsatzera,A compensación de perdas
TXT058,A reservas,A reserves,Erreserbetara,A reservas
R1,No corresponde porque no se han tenido beneficios este año,No correspon perquè no hi ha hagut beneficis enguany,"Ez dagokio, aurten ez delako etekinik izan",Non corresponde porque non houbo beneficios este ano
T3,No corresponde por tamaño,No correspon per mida,"Ez dagokio, tamaina dela eta",Non corresponde por tamaño
TXT059,Mil,Mil,mila,Mil
TXT060,Promueve,Promou,Sustatzaileak,Promove
TXT061,Colabora,Col·labora,Laguntzailea,Colabora
E7,No se puede calcular porque la entidad sólo tiene una trabajadora,No es pot calcular perquè l'entitat compta només amb una treballadora,Ezin da kalkulatu erakundeak langile bakarra duelako,Non se pode calcular porque a entidade só ten unha traballadora
TXT062,Nos damos visibilidad mutuamente,Nos damos visibilidad mutuamente,Nos damos visibilidad mutuamente,Nos damos visibilidad mutuamente
TXT063,Elaboramos presupuestos juntas,Elaboramos presupuestos juntas,Elaboramos presupuestos juntas,Elaboramos presupuestos juntas
TXT064,Pensamos juntas el proyecto,Pensamos juntas el proyecto,Pensamos juntas el proyecto,Pensamos juntas el proyecto
TXT065,Compartimos pérdidas,Compartimos pérdidas,Compartimos pérdidas,Compartimos pérdidas
TXT066,Me formo sobre temas ambientales,Me formo sobre temas ambientales,Me formo sobre temas ambientales,Me formo sobre temas ambientales
TXT067,Horario laboral definido,Horario laboral definido,Horario laboral definido,Horario laboral definido
TXT068,Se utiliza alguna herramienta para contabilizar las horas de trabajo,Se utiliza alguna herramienta para contabilizar las horas de trabajo,Se utiliza alguna herramienta para contabilizar las horas de trabajo,Se utiliza alguna herramienta para contabilizar las horas de trabajo
TXT069,Se diferencia el móvil personal del laboral,Se diferencia el móvil personal del laboral,Se diferencia el móvil personal del laboral,Se diferencia el móvil personal del laboral
TXT070,Se utiliza alguna atención al emprendimiento u otro servicio similar,Se utiliza alguna atención al emprendimiento u otro servicio similar,Se utiliza alguna atención al emprendimiento u otro servicio similar,Se utiliza alguna atención al emprendimiento u otro servicio similar
TXT071,Salario,Salario,Salario,Salario